abacus|n.算盘
kitten|n.小猫,小动物
kiwi|n.[鸟]几维(一种新西兰产的无翼鸟),<口>新西兰人
knack|n.诀窍
knapsack|n.(士兵或徒步旅行者用的帆布或皮制的)背包
knead|vt.揉(面等)成团,捏制(面包、陶器等),按摩,捏制
knee|n.膝,膝盖
kneel|vi.跪下
knife|n.刀,餐刀
knight|n.(欧洲中世纪的)骑士,爵士,武士vt.授以爵位
knighthood|n.骑士(或爵士)的地位、身份
knit|v.编织,密接,结合
knob|n.(门,抽屉等的)球形捏手,节,瘤,旋钮,球形突出物,(煤,砂糖等的)小块vt.使有球形突出物vi.鼓起
knock|v.敲,敲打,敲击,(使)碰撞n.敲,击,敲打
knot|n.(绳等的)结,(树的)节,节(船速,＝哩／小时)v.打结
know|v.知道,了解,认识,熟悉,认出,分辨,确信
knowledge|n.知识,学问,认识,知道,<古>学科
knowledgeable|adj.知识渊博的,有见识的
known|adj.知名的,大家知道的vbl.know的过去分词
knuckle|n.指节,关节
Koran|n.(伊斯兰教)可兰经
Korean|n.韩国人,朝鲜人,韩国语,朝鲜语adj.韩国人的,朝鲜人的,韩国语的,朝鲜语的
kowtow|n.<汉>磕头vi.叩头
lab|n.实验室,研究室
label|n.标签,签条,商标,标志vt.贴标签于,指...为,分类,标注[计]加上或修改磁盘的标签
labor|n.劳动,努力,工作,劳工,分娩,阵痛vi.劳动,努力争取(for),苦干vt.详细分析,麻烦
laboratory|n.实验室
laborer|n.劳动者（尤指体力劳动者）,壮工
laborious|adj.(指工作)艰苦的,费力的,(指人)勤劳的
labour|n.劳动,劳力,劳工,努力,分娩,工作v.劳动,苦干,费力地前进,分娩,工作,悉心完成
labyrinth|n.迷路,迷宫,难解的事物
lace|n.饰带,花边,缎带,鞋带vt.扎带子,扎,饰以花边vi.缚带子
lack|n.缺乏,短缺的东西vt.缺乏,没有,需要vi.缺乏,没有
lacquer|n.漆,漆,漆器vt.用漆涂于...,使表面光泽
lad|n.少年,青年男子,<口>伙计，家伙（呢称）
ladder|n.梯子,阶梯vi.袜子抽丝,装设梯子
ladle|n.杓子,长柄杓vt.以杓舀取,(用杓)舀汤,不分对象予以赠送
lady|n.女士,夫人,小姐
ladybird|n.瓢虫
lag|n.落后,囚犯,迟延,桶板,防护套adj.最后的vi.缓缓而行,滞后vt.落后于,押往监狱,加上外套
lager|n.<美>酿造后再贮藏成熟的啤酒
lagoon|n.泻湖礁湖
lake|n.湖
lamb|n.小羊,羔羊v.生小羊
lame|adj.跛足的,僵痛的,不完全的,金属薄片,不知内情的人,(辩解、论据等)无说服力的vi.变跛,瘸行vt.使成残废
lament|n.悲伤,哀悼,恸哭,挽诗,悼词vt.哀悼vi.悔恨,悲叹
lamp|n.灯vt.照亮
lance|n.标枪,长矛,矛状器具,捕鲸枪v.切开
land|n.陆地,(书面语)国家、国土,地带,[复数]地产,田产vi.靠岸,登陆,登岸,到达vt.使上岸,使登陆,使到达,使处于
landing|n.登陆,着陆,码头,楼梯平台,降落
landlady|n.女房东,女地主,(旅馆等的)老板娘
landlord|n.房东,地主,(旅馆等的)老板
landmark|n.(航海)陆标,地界标,里程碑,划时代的事
landowner|n.地主,土地所有者
landscape|n.风景,山水画,地形,前景v.美化
lane|n.（乡间）小路,巷,里弄,狭窄的通道,航线
language|n.语言,语言文学,术语,语言表达能力,(运用语言的)方式、能力、风格,[自]（机器）代码
languid|adj.疲倦的,无力的,没精打采的
languish|vi.憔悴,凋萎,衰退,苦思
lantern|n.灯笼,提灯,幻灯,信号,天窗
lapse|n.失误,下降,流逝,丧失,过失v.失检,背离,堕入,流逝,失效,下降
laptop|膝上型电脑
large|adj.大的,巨大的,宽大的,夸大的adv.大大地,夸大地,顺风地n.大
largely|adv.主要地,大量地,很大程度上
larva|n.幼虫
laryngitis|n.[医]喉炎
larynx|n.[解]喉
laser|n.激光
lash|n.鞭子,鞭打,睫毛,责骂,讽刺vt.鞭打,摆动,扎捆,冲击,煽动,讽刺vi.猛击,急速甩动
lass|n.少女,爱人,情妇,<苏格兰>女佣
lasting|adj.持久的,永久的,永恒的,耐久的n.厚实斜纹织物(作鞋帮等用)
lastly|adv.最后,终于
latch|n.门插销v.闭锁
late|adj.迟的,晚(期)的,已故的,新近的adv.晚,迟,最近,在晚期
lately|adv.近来,最近
latent|adj.潜在的,潜伏的,隐藏的n.隐约的指印
later|adj.更迟的,更后的adv.稍后,随后
lateral|n.侧部,支线,边音adj.横(向)的,侧面的
lathe|n.车床,[纺]走梭板vt.用车床加工
Latin|n.拉丁文,拉丁语,拉丁语族的adj.拉丁文的,拉丁语的,拉丁人的
latitude|n.纬度,范围,(用复数)地区,行动或言论的自由(范围)
latter|adj.后面的,(两者中)后者的,较后的,近来的
laugh|vi.笑,讥笑n.笑,笑声
laughter|n.笑,笑声
launch|n.下水,汽艇,发射,发行,投放市场vt.使(船)下水,掷(标枪等),发射(导弹、火箭等),开办,发动,发起vi.起飞,下水,投入,开始
launderette|n.(装有投币洗衣机的)自动洗衣店
laundry|n.洗衣店,要洗的衣服,洗熨
laureate|adj.佩戴桂冠的n.戴桂冠的人
laurel|n.[植]月桂树,桂冠,殊荣vt.使戴桂冠,授予荣誉
lava|n.熔岩,火山岩
lavatory|n.厕所,<主英>抽水马桶,<美>洗脸盆,浴室
lavish|adj.非常大方的,过分丰富的,浪费的vt.浪费,滥用,慷慨给予
law|n.法律,诉讼,法学,法治,司法界,规律v.对...起诉,控告abbr.[军]LightAnti-TankWeapon,轻型反坦克武器
lawful|adj.法律许可的,守法的,受自然规律支配的
lawn|n.草地,草坪,(均匀生长于固体培养基的)菌苔
lawsuit|n.诉讼(尤指非刑事案件)
lawyer|n.律师
lax|adj.松的,松懈的,不严格的,腹泻的,松驰的n.泻肚,[语]松元音
lay|vt.放置,铺设,产(卵)提出,平息,布置vi.下蛋,打赌n.位置,层面,形势,短叙事诗adj.世俗的,外行的vbl.lie的过去式
layer|n.层,阶层
layman|n.外行
layoff|n.临时解雇,操作停止,活动停止期间,失业期
layout|n.规划,设计,(书刊等)编排,版面,配线,企划,设计图案,(工厂等的)布局图版面设计
lazy|adj.懒惰的,懒散的
leader|n.领导者,社论n.[计]前导字符n.[机]导杆
leadership|n.领导能力,领导阶层
leading|adj.领导的,第一位的,最主要的
leaf|n.叶,树叶,(书的)一张(两叶),页vi.生叶,翻书页vt.翻...的页
leaflet|n.小叶,传单
league|n.同盟,联盟,盟约,联合会,社团v.组联盟,(使)加盟
leak|n.漏洞,漏出,漏出物,泄漏,<俚>撒尿vi.漏,泄漏vt.使渗漏
lean|n.倾斜,倾斜度,倚靠,倾向adj.瘦的,贫乏的,歉收的vi.倚靠,倾斜,依赖,倾向,偏向vt.使倾斜
leap|v.跳,跳越,跳跃n.跳跃,飞跃
learn|vi.学习,听到,获悉vt.学习,学会,认识到
learned|adj.有学问的,学术上的
learning|n.知识,学问,学习,学
lease|n.租借,租约,租赁物,租期,延续的一段时间vt.出租,租出,租得
least|adj.最小的,最少的adv.最少,最小
leather|n.皮革,皮革制品
leave|n.许可,同意,请假,休假vt.离开,动身,剩下,遗忘,委托,遗弃vi.出发,离开,生叶,动身
lecture|n.演讲,讲稿,谴责,教训vt.演讲,训诫,说教vi.讲演
lecturer|n.演讲者,讲师
ledge|n.壁架,架状突出物,暗礁,矿层
ledger|n.[会计]分类帐,分户总帐,底帐,[建](手脚架上的)横木
lee|n.庇萌,保护,庇护所,背风处adj.避风的,背风的,下风的,保护的
leek|n.韭
leeway|n.[航海]风压差,偏航,风压角,可允许的误差,退路,<喻>落后,<口语>回旋余地
left|adj.左边的,左倾的,左侧的,左派的,左翼的adv.在左面n.左,左边,左派vbl.leave的过去式和过去分词
leg|n.腿,胫,旅程的一段vi.走,跑
legacy|n.遗赠(物),遗产(祖先传下来)
legal|adj.法律的,法定的,合法
legalize|vt.使得到法律认可,公认,使合法化
legend|n.传说,伟人传,图例联想集团，中国最大的国有品牌微机制造商之一
legendary|n.传奇故事书,传奇文学adj.传说中的
legibility|n.易读性,易辨认,易理解
legible|adj.清晰的,易读的
legion|n.古罗马军团(约有3000至6000步兵,辅以数百名骑兵),<书>众多,大批
legislate|vi.制定法律vt.通过立法
legislation|n.立法,法律的制定(或通过)
legislative|adj.立法的,立法机关的n.立法机关
legislature|n.立法机关,立法机构
legitimate|adj.合法的,合理的,正统的v.合法
legitimize|v.宣布合法化,立为嫡嗣
leisure|n.空闲,闲暇,悠闲,安逸
lemon|n.柠檬adj.柠檬色的
lemonade|n.柠檬水
lend|v.借给,贷(款)
length|n.长度,长,时间的长短,[语]音长
lengthen|v.延长,(使)变长
lenience|n.宽厚,仁慈
leniency|n.宽大,仁慈,温和,慈悲宽厚行为
lenient|adj.宽大的,仁慈的,慈悲为怀的
lens|n.透镜,镜头
lentil|n.[植]小扁豆
leopard|n.豹,美洲豹.美洲虎
leprosy|n.[医]麻疯病,腐败
Lesbian|adj.（女性）同性恋的n.同性恋的女性
less|n.较少,较小adj.少的,小的adv.较少地,更小地,不及prep.减去
lessen|v.减少,减轻
lesson|n.功课,(一节)课,课程,教训
lest|conj.唯恐,以免,免得,(用于fear,beafraid之后,等于that)
let|vt.假设,出租,允许,排放,让...进入(或通过),妨碍vi.出租,(工程等)被承包n.出租屋,障碍
lethal|adj.致命的n.致死因子
letter|n.文字,字母,信函,字面意义,铅字,证书,文学,学问vt.用字母标明,在...上刻(或题)字vi.写印刷体字母
lettuce|n.[植]莴苣,生菜,苦菜类,<俚>纸币
leukaemia|n.[医]白血病
levee|n.防洪堤,码头,大堤v.筑防洪堤于
level|n.水平,水平面,水准,标准,级别adj.同高的,平坦的,齐平的,水平的vt.使...水平,夷平,使同等,瞄准,对准vi.变平,拉平
lever|n.杆,杠杆,控制杆v.抬起
leverage|n.杠杆作用
levity|n.轻率,轻浮,不稳定,多变
levy|n.征收,征税,征兵v.征收,征集,征用
lexical|adj.词汇的
lexicography|n.词典编纂
lexis|n.词，词汇
liable|adj.有责任的,有义务的,易...的,有...倾向的,负有责任的,很有可能的
liaison|n.联络,(语音)连音
liar|n.(惯于)说谎者
liberal|n.自由主义者,(尤指英国、加拿大等国的)adj.慷慨的,不拘泥的,宽大的,自由主义的
liberalism|n.自由主义
liberate|v.解放,释放
liberation|n.释放,解放
liberty|n.自由,特权,随意,冒失,冒昧,失礼
librarian|n.图书馆员,图书管理员
library|n.图书馆,藏书室,库
licence|n.执照,许可证,特许vt.许可,特许,认可,发给执照
lichen|n.[植]青苔,地衣,苔藓
lick|n.舔,少许,打vt.舔,卷过,鞭打,克服,征服vi.轻轻拍打
lid|n.盖子,<美口>限制,眼睑vt.给...盖盖子
lie|vi.躺,平放,展现,展开,位于v.说谎,躺n.谎话,谎言
lieutenant|n.陆军中尉,海军上尉,副职官员
life|n.生命,生活,一生,寿命,生命力,传记
lifetime|n.一生,终生,寿命
lift|n.举起,电梯,起重机,搭车vt.升高,提高,举起,空运vi.升起,(指雾等)消散,耸立
ligament|n.系带,韧带
light|n.光,日光,发光体,灯adj.轻的,发光的,明亮的,浅的vt.点燃,照亮adv.轻地vi.点着,变亮
lighten|v.减轻,(使)轻松,(使)发亮,照
lighter|n.点火者,打火机,驳船v.驳运
lighthouse|n.灯塔
lightning|n.闪电(“闪电”)英国第一种超音速喷气式战斗机，英60年代的主力机种。
like|n.爱好,同样的人(或物)adj.相似的,同样的vt.喜欢,希望,愿意vi.喜欢,希望prep.象,如同adv.可能
likelihood|n.可能,可能性
likely|adj.很可能的,合适的,可靠的,有希望的adv.或许,很可能
liken|vt.把...比作
likeness|n.相象,相似物
likewise|adv.同样地,照样地,又,也n.同样地
liking|n.爱好,嗜好
lilac|n.[植]丁香(尤指西洋丁花)紫丁香,丁香花,淡紫色adj.淡紫色的
lily|n.百合,百合花,洁白的东西,纯洁的人adj.洁白的,纯洁的
limb|n.肢,翼,分支
lime|n.酸橙,石灰,黏鸟胶
limelight|n.引人注目的中心
limestone|n.石灰石
limit|n.界限,限度,限制vt.限制,限定
limitation|n.限制,局限性
limited|adj.有限的,狭窄的,缺乏创见的n.高级快车
limousine|n.豪华轿车
limp|adj.柔软的,易曲的vi.跛行
line|n.绳,索,线路,航线,诗句vt.排成一行,顺...排列,划线于,使有线条,使起皱纹vi.排队
lineage|n.血统,世系
linear|adj.线的,直线的,线性的
linen|n.亚麻布,亚麻制品,亚麻纤维制成的优质纸adj.亚麻布制的,亚麻的
liner|n.<美>班机,划线者,衬垫
linesman|n.巡边员,巡道工,前锋
linger|v.逗留,闲荡,拖延,游移
linguist|n.语言学家
linguistic|adj.语言上的,语言学上的
linguistics|n.语言学
link|n.链环,连结物,火把,链接vt.连结,联合,挽vi.连接起来
lion|n.狮子,(剽悍的人)社交场合的名流
lioness|n.雌狮
lip|n.嘴唇,唇缘
lipstick|n.<美>口红,唇膏
liquid|n.液体,流体,流音adj.液体的,清澈的,透明的,明亮的,流动的,易变的,(财务)易变卖的
liquidate|v.清算
liquor|n.液体,汁，酒精饮料,[药]溶液vt.浸水vi.喝酒
list|n.目录,名单,列表,序列,数据清单,明细表,条纹,[总称]各种上市证券vt.列出,列于表上,记入名单内,装布条vi.列于表上
listen|vi.听,听从v.听,收听
liter|n.公升
literacy|n.有文化，有教养，有读写能力
literal|adj.文字的,照字面上的,无夸张的
literally|adv.照字面意义,逐字地
literary|adj.文学(上)的,从事写作的,文艺的,精通文学的,书本的
literate|n.学者adj.有文化的，有阅读和写作能力的
literature|n.文学(作品),文艺,著作,文献
litigation|n.诉讼,起诉
litre|n.(=liter)升(容量单位)
litter|n.垃圾，（供动物睡眠或防冻用的）干草、树叶,(一)窝,轿,担架vt.乱丢,铺草,弄乱vi.产仔,乱丢垃圾
little|n.少许,一会儿,短时间adj.很少的,矮小的,短暂的,琐碎的adv.很少,稍微,完全不
live|adj.活的,生动的,精力充沛的,实况转播的,点燃的vi.活着,生活,居住,流在人们记忆中vt.过着,度过,经历adv.以实况地
livelihood|n.生计,谋生
lively|adj.活泼的,活跃的,栩栩如生的,真实的
liven|v.具有活力
liver|n.居住者，生活优裕的人，肝脏
livestock|n.家畜,牲畜
livid|adj.铅色的,（被打得）青紫色的
living|n.生活,生计,生存空间,居住面积adj.活的,起作用的,逼真的,现存的
lizard|n.[动]蜥蜴
load|n.负荷,重担,装载量,工作量,负载,加载vt.装载,装填,使担负vi.装货,装弹药，装料
loan|n.（借出的）贷款,借出v.借,借给
loathe|vt.厌恶,憎恶
lobby|n.大厅,休息室,<美>游说议员者vi.游说议员,经常出入休息室vt.对(议员)进行疏通
lobe|n.圆形突出部（尤指耳垂）,[植]圆裂片
lobster|n.龙虾
local|adj.地方的,当地的,局部的,乡土的n.当地居民,本地新闻,慢车,局部
locality|n.位置,地点
locate|vt.查找...的地点,使...坐落于,位于v.定位,位于
location|n.位置,场所,特定区域，<美>[电影]外景拍摄场地
lock|n.锁v.锁,锁上,锁住
locker|n.上锁的人,有锁的橱柜,锁扣装置,有锁的存物柜
locomotive|n.机车,火车头adj.运动的
locust|n.[动]蝗虫,蚱蜢,蝉
lodge|n.门房,（猎人住的）山林小屋,（游览区的）旅馆,（地方社团的）集会处vi.临时住宿,寄宿（某人家）vt.容纳,寄存,把...射入,存放,(向有关当局)提出(声明)
lodging|n.寄宿处,寄宿,(通常用复数)出租的房间、住房
loft|n.阁楼
lofty|adj.高高的,崇高的,高傲的,高级的
log|n.航行日志,原木,园形木材,园木v.把...记入航行日志,伐木,把...锯成段
logic|n.逻辑,逻辑学,逻辑性
logical|adj.合乎逻辑的,合理的
logistics|n.后勤学,后勤
logo|n.标识语Logo教学语言
loin|n.腰
loiter|v.闲荡,虚度,徘徊
loll|v.懒洋洋地倚靠
lonely|adj.孤独的,寂寞的,偏僻的,人迹罕至的
lonesome|adj.寂寞的
long|adj.长的,长期的,做多头的,高的vi.渴望,热望adv.长期地,始终n.长时间,(市场上)做多头的人,[语音]长音节
longevity|n.长命,寿命，供职期限，资历
longing|n.渴望
longitude|n.经度,经线
look|n.看,注视,脸色,面容,外表vi.看,注意,朝着,好象,显得vt.打量,注视,用眼神(或脸色)表示,期待
lookout|n.望员,监视哨,看守
loom|n.织布机,织机v.隐现,迫近
loop|n.环,线(绳)圈,弯曲部分,回路,回线,(铁路)让车道,(飞机)翻圈飞行vt.使成环,以圈结,以环连结vi.打环,翻筋斗n.循环
loophole|n.枪眼,望孔,射弹孔
loose|n.解放,放任,放纵adj.宽松的,不精确的,不牢固的,散漫的,自由的vt.释放,放枪,开船vi.变松,开火adv.松散地
loosen|v.解开,放松,松开
loot|v.掠夺,抢劫,劫掠n.掠夺物,战利品,抢劫
lop|vt.修剪,砍伐,斩vi.下垂,闲荡adj.垂下的n.砍下的部分,垂耳兔
lopsided|adj.倾向一方的,不平衡的
lord|n.封建领主,地主,统治者,[宗]上帝vi.称王称霸,作威作福vt.使成贵族
lorry|n.<古>卡车,铁路货车
lose|vt.遗失,浪费,错过,输去,使失去,使迷路,使沉溺于vi.受损失,失败
loss|n.损失,遗失,失败,输,浪费,错过,[军]伤亡,降低
lost|adj.失去的,丧失的,错过的,迷惑的,不为人知的vbl.lose的过去式和过去分词
lot|n.签,抽签,一堆,许多,命运,一块地,份额vt.划分vi.抽签,抓阄
lotion|n.洗液,洗剂
lottery|n.抽彩给奖法
lotus|n.[植]莲属荷(花),莲(花)睡莲adj.贪图安乐的
loud|adj.高声的,不断的,喧吵的adv.高声地,大声地
loudspeaker|n.扩音器,喇叭
lounge|n.闲逛,休闲室,长沙发vi.闲荡,懒洋洋地躺卧vt.虚度光阴
louse|n.虱子,寄生虫
lousy|adj.<俚>污秽的,恶心的,生虱的
lovable|adj.可爱的,惹人爱的
love|n.爱,热爱,爱情,爱好,性爱,情人,零vt.爱,热爱,爱好,爱慕vi.爱
lovely|adj.可爱的,有趣的
lover|n.爱人,爱好者,情人
loving|adj.亲爱的,钟情的
low|n.低,低价,牛叫声adj.低的,浅的,消沉的,微弱的,粗俗的,卑贱的,体质弱的adv.低下地,谦卑地,低声地,低价地vi.牛叫
lowbrow|adj.教养浅薄的n.教养浅薄的人
lower|adj.较低的,下级的,下等的,下游的vi.降低,跌落,减弱vt.放下,降下,减弱,贬低
loyal|adj.忠诚的,忠心的
loyalty|n.忠诚,忠心
lubricant|n.滑润剂
lubricate|vt.润滑v.加润滑油
lucid|adj.明晰的
luck|n.运气,好运,幸运
lucky|adj.幸运的,吉祥的,侥幸的
lucrative|adj.有利的
ludicrous|adj.可笑的,滑稽的,愚蠢的
luggage|n.行李,皮箱
lukewarm|adj.冷淡的
lull|n.暂停,麻痹vt.使平静,哄骗,使安静vi.变平静
luminous|adj.发光的,明亮的
lump|n.块（尤指小块）,肿块,笨人vt.使成块状,混在一起,忍耐,笨重地移动vi.结块
lunacy|n.精神失常,精神病
lunar|adj.月的,月亮的
lunatic|adj.精神错乱的,疯狂的,极端愚蠢的n.疯子,狂人,大傻瓜,疯人
lunch|n.午餐
luncheon|n.午宴,正式的午餐
lung|n.肺,呼吸器,肺脏
lunge|n.刺,刺进,跃进,套马索v.突进,刺
lurch|n.突然倾斜,挫折,举步蹒跚,徘徊,困境vi.惨败,倾斜,徘徊vt.击败
lure|v.引诱
lurk|n.潜伏,埋伏vi.潜藏,潜伏,埋伏
luscious|adj.甘美的
lush|adj.青葱的,味美的,豪华的,繁荣的
lust|n.活力,繁殖力,强烈的性欲vi.强烈欲望,渴望,引起性冲动
luster|n.光彩,光泽vi.有光泽,发亮vt.使有光泽
lute|n.琵琶
luxuriant|adj.丰产的,丰富的,肥沃的,奢华的
luxurious|adj.奢侈的,豪华的
luxury|n.奢侈,华贵
lychee|n.[植]<汉>荔枝,荔枝树
lynch|n.私刑,诽谤vt.处以私刑,诽谤,中伤
lyric|n.抒情诗,歌词adj.(供)吟唱的,抒情的
lyrical|adj.抒情诗调的,充满感情的,热情的
macaroni|n.[食]通心面,纨绔子弟
machine|n.机器,机械,机动车辆,机构,设计,机械般工作的人,(政党的)领导集团,核心组织vt.机器制造,用车床加工
machinery|n.[总称]机器,机械
macho|adj.男子的男子气的
mackerel|n.鲭
mackintosh|n.橡皮布,橡皮布防水衣
macroeconomic|n.整体经济
mad|adj.疯狂的,愚蠢的,狂欢的,非常激动的,狂热的,着迷的n.狂怒
madam|n.女士,夫人
madame|n.<法>太太,夫人
madden|v.发狂
Mafia|n.黑手党,秘密政党
magazine|n.杂志,期刊,军火库,弹药库,(枪、炮的)弹仓,胶卷盒
maggot|n.空想,蛆
magic|n.魔法,巫术,戏法adj.魔术的,有魔力的,不可思议的
magical|adj.不可思议的
magician|n.善于变戏法的人,魔术师,术士
magnanimous|adj.宽宏大量的,有雅量的
magnate|n.大资本家,巨头,富豪,要人,...大王
magnesium|n.[化]镁
magnet|n.磁体,磁铁
magnetic|adj.磁的,有磁性的,有吸引力的
magnetism|n.磁,磁力,吸引力,磁学
magnificent|adj.华丽的,高尚的,宏伟的
magnify|vt.放大,扩大,赞美,夸大,夸张vi.有放大能力
magnitude|n.大小,数量,巨大,广大,量级
magnolia|n.木兰,玉兰类的植物
magpie|n.鹊
mahogany|n.[植]桃花心木,其木材,红褐色
maid|n.少女,女仆
maiden|n.少女,处女adj.未婚的,纯洁的,处女的,无经验的
mail|n.邮件,邮政,盔甲vt.邮寄,给...穿盔甲
mailbox|n.<美>邮筒,邮箱
maim|vt.使残废,使不能工作
main|n.主要部分,体力,力量,大陆,要点,干线adj.主要的,重要的,全力的n.[计]主群组
mainland|n.大陆
mainspring|n.(钟表的)主发条,主要原因
mainstay|n.支柱,中流砥柱
mainstream|n.主流
maintain|vt.维持,维修,继续,供养,主张
maintenance|n.维护,保持,生活费用,扶养
maize|n.玉米,黄色adj.玉米色的,黄色的
majestic|adj.宏伟的,庄严的
majesty|n.最高权威,王权,雄伟
major|n.<美>[教]主修课,[律]成年人,[乐]大调adj.主修的,成年的,大调的vi.主修
majority|n.多数,大半n.[律]成年
make|vt.制造,安排,使成为,认为,产生,获得,进行,构成vi.开始,前进,增大,被制造,被处理n.制造,构造,性情
makeshift|n.将就,凑合,权宜之计adj.权宜之计的,凑合的
makeup|n.天性,化妆品,补充,虚构,组成,结构,补考,体格
making|n.制造,发展,素质
maladjusted|adj.失调的,不适应环境的
maladministration|n.暴政,乱政
malady|n.疾病
malaria|n.疟疾,瘴气
male|adj.男的,雄的,男性
malformed|adj.难看的,畸形的
malfunction|n.故障
malicious|adj.怀恶意的,恶毒的
malign|v.诽谤adj.恶毒的
malignancy|n.恶意
malignant|adj.恶性的
mall|n.购物商场,商业街,林荫路
malnutrition|n.营养失调,营养不良
malpractice|n.玩忽职守
malt|n.麦芽
maltreat|vt.虐待,滥用
mammal|n.哺乳动物
mammoth|n.[古生]猛犸,毛象,庞然大物adj.长毛象似的,巨大的
man|n.男人,人类,人,丈夫,雇工vt.为...配备人手,操纵,在...就位,使振奋
manacle|n.手铐,脚镣,束缚vt.给...上手铐,束缚
manage|vi.处理,应付过去vt.管理,控制,操纵,维持,运用,搞成,设法,达成
manageable|adj.易处理的,易管理的,便于管理的
management|n.经营,管理,处理,操纵,驾驶,手段
manager|n.经理,管理人员,管理器
managerial|adj.管理的
mandarin|n.官话,普通话,满清官吏,中国柑桔adj.官僚的,保守知识界的,(语言或文体)繁复而华美的,(中国式)紧身马褂的
mandate|n.(书面)命令,训令,要求,(前国际联盟的)委任托管权vt.委任统治
mandatory|adj.命令的,强制的,托管的
mane|n.鬃毛
manful|adj.勇敢的
manger|n.马槽,牛槽,[船]挡水板
mango|n.[植]芒果
manhood|n.成年
mania|n.[医]颠狂,狂躁,癖好,狂热
maniac|adj.发狂的,癫狂的,疯狂的n.[医]燥狂(症)者,疯子,一种高速电子数字计
manic|adj.[医]狂躁的n.噪狂者
manicure|n.修指甲v.修剪
manifest|n.载货单,旅客名单adj.显然的,明白的vi.出现vt.表明,证明
manifestation|n.显示,表现,示威运动
manifesto|n.宣言,声明
manifold|n.复印本,多种adj.多种形式的,有许多部分的,多方面的vt.复写,繁殖,增多
manipulate|vt.(熟练地)操作,使用(机器等),操纵(人或市价、市场),利用,应付,假造vt.(熟练地)操作,巧妙地处理
mankind|n.人类,男性,男子
manly|adj.男子气概的,果断的,雄赳赳adv.雄赳赳地
manner|n.礼貌,风格,方式,样式,习惯
manoeuvre|n.[亦作maneuvre]策略,调动v.用策略,调动,演习,(敏捷地)操纵
manpower|n.人力
mansion|n.大厦,官邸,公寓(用复数,用于专有名词中)
manslaughter|n.杀人,一般杀人罪
mantelpiece|n.壁炉架,壁炉的前饰
mantle|n.斗蓬,覆盖物,壁炉架v.披风,覆盖
manual|n.手册,指南adj.手的,手动的,手工的,体力的,手册(性质)的,[律]实际占有的
manufacture|vt.制造,加工n.制造,制造业,产品
manure|n.肥料v.施肥于
manuscript|n.手稿,原稿
many|n.多数,群众adj.许多的pron.许多人,许多
Maori|n.(新西兰的)毛利人,毛利语adj.毛利人的,毛利语的
map|n.地图,图v.绘制地图
maple|n.[植]枫,枫木,淡棕色
mar|v.弄坏,毁坏,损害n.损伤,毁损,障碍n.(Mar)三月(=March)
marathon|n.[体]马拉松赛跑(全长42,195米),耐力的考验
marble|n.大理石,(玩具)弹球.石弹子,雕刻品adj.大理石的,冷酷无情的,坚硬的
march|n.行军,步伐,进行曲vi.进军,前进vt.使行军,使行进n.(March)三月(略作Mar)
March|n.三月
mare|n.母马,母驴,月球或火星等表面阴暗区
margarine|n.人造黄油
margin|n.页边的空白,(湖、池等的)边缘,极限,利润,差数,(时间、金额等的)富余vt.加边于,加旁注于
marginal|adj.记在页边的,边缘的,边际的
marijuana|n.[植]大麻n.[植]大麻,大麻干叶和花
marine|n.舰队,水兵,海运业adj.海的,海产的,航海的,船舶的,海运的
marital|adj.婚姻的
maritime|adj.海上的,海事的,海运的,海员的
mark|n.标志,分数,痕迹,记号vt.做标记于,打分数,标志vi.作记号
marked|adj.有记号的,显著的
marker|n.作记号的人,记分员,纪念碑,标记,里程碑n.[军]标兵
market|n.市场,销路,行情vt.在市场上交易,使上市vi.在市场上买卖
marketing|n.行销,买卖
marking|n.记号,斑纹,作记号,记分
marksman|n.射手,神射手
marmalade|n.橘子或柠檬等水果制成的果酱
marquee|n.大帐篷,华盖n.[计]选取框
marriage|n.结婚,婚姻,婚姻生活,密切结合,合并
married|adj.已婚的,婚姻的
marrow|n.髓,骨髓,精华,活力,<苏格兰>配偶
marry|vt.娶,嫁,和...结婚
Mars|n.火星,战神abbr.[军]MediumArtilleryRocketLauncher,中型炮兵火箭发射器
marsh|n.湿地,沼泽,沼泽地
marshal|n.元帅,典礼官,执行官,司仪官vt.整顿,配置,汇集vi.排列,集合
mart|n.<书>商业中心,市场
martial|adj.战争的,军事的,尚武的,威武的
martyr|n.烈士,殉教者v.杀害,折磨
marvel|n.奇迹v.大为惊异,觉得惊奇
marvellous|adj.绝妙的；了不起的
marvelous|adj.引起惊异的,不可思议的,非凡的
Marxism|n.马克思主义
Marxist|adj.马克思主义的n.马克思主义者
mascot|n.福神,吉祥的东西
masculine|adj.男性的,男子气概的,[语法]阳性的n.男子,男孩
masculinity|n.男性,阳性,雄性
mash|v.捣碎
mask|n.面具,掩饰,石膏面像vt.戴面具,掩饰,使模糊vi.化装,戴面具,掩饰,参加化装舞会
masked|v.伪装adj.戴面具的
mason|n.泥瓦匠vt.用砖瓦砌成
masquerade|n.化妆舞会v.化装
mass|n.块,大多数,质量,群众,大量adj.群众的,大规模的,集中的vt.使集合vi.聚集
massacre|n.残杀,大屠杀v.残杀,集体屠杀
massage|n.按摩v.按摩
massive|adj.厚重的,大块的,魁伟的,结实的
mast|n.桅,桅杆,柱,旗杆,天线竿vt.装桅杆于
